Source,Target
CCR2,SCLERODERMA
TIMP1,SCLERODERMA
BCL2,SCLERODERMA
HLA-DRB1,SCLERODERMA
VWF,SCLERODERMA
CXCR4,SCLERODERMA
CTNNB1,SCLERODERMA
CD40LG,SCLERODERMA
TLR4,SCLERODERMA
CD40,SCLERODERMA
GLB1,SCLERODERMA
SP1,SCLERODERMA
MUC1,SCLERODERMA
SMAD3,SCLERODERMA
SMAD7,SCLERODERMA
FAS,SCLERODERMA
RBM45,SCLERODERMA
CCL3,SCLERODERMA
SPARC,SCLERODERMA
MMP2,SCLERODERMA
THBS1,SCLERODERMA
HP,SCLERODERMA
STAT4,SCLERODERMA
ADAM17,SCLERODERMA
MAPK8,SCLERODERMA
ESR1,SCLERODERMA
CCL5,SCLERODERMA
PPARG,SCLERODERMA
CXCR3,SCLERODERMA
CD79A,SCLERODERMA
IL17A,SCLERODERMA
MAPK3,SCLERODERMA
KDR,SCLERODERMA
DKK1,SCLERODERMA
MIR29A,SCLERODERMA
TBX21,SCLERODERMA
MSR1,SCLERODERMA
LOX,SCLERODERMA
HLA-DRB4,SCLERODERMA
AGT,SCLERODERMA
IL33,SCLERODERMA
IRF5,SCLERODERMA
MIR155,SCLERODERMA
CD163,SCLERODERMA
MS4A1,SCLERODERMA
POSTN,SCLERODERMA
MAPK1,SCLERODERMA
TLR8,SCLERODERMA
CXCL8,SCLERODERMA
NFKB1,SCLERODERMA
NFKB2,SCLERODERMA
RELA,SCLERODERMA
RELB,SCLERODERMA
REL,SCLERODERMA
MMRN1,SCLERODERMA
TLR3,SCLERODERMA
CD14,SCLERODERMA
SERPINE2,SCLERODERMA
CEBPZ,SCLERODERMA
CXCL12,SCLERODERMA
EXOSC10,SCLERODERMA
TGFBR1,SCLERODERMA
IL15,SCLERODERMA
NOX4,SCLERODERMA
BDNF,SCLERODERMA
JUND,SCLERODERMA
FCN2,SCLERODERMA
SERPINH1,SCLERODERMA
CD226,SCLERODERMA
SNRNP70,SCLERODERMA
PTH,SCLERODERMA
AQP3,SCLERODERMA
PPBP,SCLERODERMA
COL1A1,SCLERODERMA
TNFRSF11B,SCLERODERMA
FBL,SCLERODERMA
EGFR,SCLERODERMA
PCNA,SCLERODERMA
TNIP1,SCLERODERMA
ERVW-4,SCLERODERMA
CDK5,SCLERODERMA
CD69,SCLERODERMA
MMP13,SCLERODERMA
IFI16,SCLERODERMA
IFNA1,SCLERODERMA
DNAJC5,SCLERODERMA
PTPN22,SCLERODERMA
MRSS,SCLERODERMA
PDGFRB,SCLERODERMA
TRIM21,SCLERODERMA
TIMP2,SCLERODERMA
MGP,SCLERODERMA
EP300,SCLERODERMA
SIGLEC1,SCLERODERMA
COL1A2,SCLERODERMA
SERPINE1,SCLERODERMA
LSM2,SCLERODERMA
TMEM11,SCLERODERMA
SOX5,SCLERODERMA
EGFL7,SCLERODERMA
CD109,SCLERODERMA
FOSL2,SCLERODERMA
THM,SCLERODERMA
CCL13,SCLERODERMA
CD247,SCLERODERMA
PDGFRA,SCLERODERMA
HTR2A,SCLERODERMA
RBFOX2,SCLERODERMA
PTPA,SCLERODERMA
NOTCH4,SCLERODERMA
LILRB1,SCLERODERMA
HT,SCLERODERMA
WIF1,SCLERODERMA
EPHB2,SCLERODERMA
THY1,SCLERODERMA
SMAD2,SCLERODERMA
CA5A,SCLERODERMA
KLF5,SCLERODERMA
ANGPT2,SCLERODERMA
IRF7,SCLERODERMA
PTBP1,SCLERODERMA
MBL2,SCLERODERMA
TIE1,SCLERODERMA
TREX1,SCLERODERMA
TRIB3,SCLERODERMA
ERI1,SCLERODERMA
SERPINF2,SCLERODERMA
KRT1,SCLERODERMA
SERPINF1,SCLERODERMA
ICOS,SCLERODERMA
FGF2,SCLERODERMA
TGFB2,SCLERODERMA
SEMA3E,SCLERODERMA
CENPA,SCLERODERMA
VGLL3,SCLERODERMA
PTP4A1,SCLERODERMA
TLR9,SCLERODERMA
IL9,SCLERODERMA
IL1RN,SCLERODERMA
MSC,SCLERODERMA
VNN1,SCLERODERMA
CD28,SCLERODERMA
HTR1A,SCLERODERMA
SERPINA1,SCLERODERMA
POLR3A,SCLERODERMA
EDNRA,SCLERODERMA
TNFRSF10B,SCLERODERMA
PRS,SCLERODERMA
FASLG,SJOGREN'S SYNDROME
LTF,SJOGREN'S SYNDROME
TNFSF13B,SJOGREN'S SYNDROME
IL10,SJOGREN'S SYNDROME
MUC16,SJOGREN'S SYNDROME
LILRA3,SJOGREN'S SYNDROME
AQP1,SJOGREN'S SYNDROME
CXCL13,SJOGREN'S SYNDROME
IL2,SJOGREN'S SYNDROME
B2M,SJOGREN'S SYNDROME
BCL2,SJOGREN'S SYNDROME
IL6,SJOGREN'S SYNDROME
TRIM21,SJOGREN'S SYNDROME
SSB,SJOGREN'S SYNDROME
IFNA1,SJOGREN'S SYNDROME
IL12A,SJOGREN'S SYNDROME
IL12B,SJOGREN'S SYNDROME
MS4A1,SJOGREN'S SYNDROME
IL2RA,SJOGREN'S SYNDROME
SPTAN1,SJOGREN'S SYNDROME
TLR9,SJOGREN'S SYNDROME
ADAM17,SJOGREN'S SYNDROME
CXCL10,SJOGREN'S SYNDROME
EGF,SJOGREN'S SYNDROME
RO60,SJOGREN'S SYNDROME
ELANE,SJOGREN'S SYNDROME
NFKB1,SJOGREN'S SYNDROME
MUC5AC,SJOGREN'S SYNDROME
AQP4,SJOGREN'S SYNDROME
TTR,SJOGREN'S SYNDROME
IL17A,SJOGREN'S SYNDROME
SMAD4,SJOGREN'S SYNDROME
IFNG,SJOGREN'S SYNDROME
ABCA1,SJOGREN'S SYNDROME
IL1B,SJOGREN'S SYNDROME
TGFB1,SJOGREN'S SYNDROME
IL27,SJOGREN'S SYNDROME
IL18,SJOGREN'S SYNDROME
AQP5,SJOGREN'S SYNDROME
THBS1,SJOGREN'S SYNDROME
MRGPRF,SJOGREN'S SYNDROME
FAS,SJOGREN'S SYNDROME
NFKB1,SJOGREN'S SYNDROME
NFKB2,SJOGREN'S SYNDROME
RELA,SJOGREN'S SYNDROME
RELB,SJOGREN'S SYNDROME
REL,SJOGREN'S SYNDROME
IL1A,SJOGREN'S SYNDROME
E2F1,SJOGREN'S SYNDROME
CA2,SJOGREN'S SYNDROME
PPARG,SJOGREN'S SYNDROME
LYZ,SJOGREN'S SYNDROME
THM,SJOGREN'S SYNDROME
CD79A,SJOGREN'S SYNDROME
CTSS,SJOGREN'S SYNDROME
IL4,SJOGREN'S SYNDROME
CXCL12,SJOGREN'S SYNDROME
TNF,SJOGREN'S SYNDROME
GAS6,SJOGREN'S SYNDROME
PSMB8,SJOGREN'S SYNDROME
SPP1,SJOGREN'S SYNDROME
KLK4,SJOGREN'S SYNDROME
TNFRSF25,SJOGREN'S SYNDROME
SST,SJOGREN'S SYNDROME
LEP,SJOGREN'S SYNDROME
ATG5,SJOGREN'S SYNDROME
AKT1,SJOGREN'S SYNDROME
MUC1,SJOGREN'S SYNDROME
MIR146A,SJOGREN'S SYNDROME
LTBR,SJOGREN'S SYNDROME
LEPR,SJOGREN'S SYNDROME
IL33,SJOGREN'S SYNDROME
HGF,SJOGREN'S SYNDROME
HMGB1,SJOGREN'S SYNDROME
MIF,SJOGREN'S SYNDROME
MAP1LC3B,SJOGREN'S SYNDROME
TBCE,SJOGREN'S SYNDROME
LCN1,SJOGREN'S SYNDROME
CRISP3,SJOGREN'S SYNDROME
TRIM68,SJOGREN'S SYNDROME
SNRPG,SJOGREN'S SYNDROME
LMNA,SJOGREN'S SYNDROME
SPAST,SJOGREN'S SYNDROME
ID3,SJOGREN'S SYNDROME
MSN,SJOGREN'S SYNDROME
LRP2,SJOGREN'S SYNDROME
PSS,SJOGREN'S SYNDROME
IL12A,SYSTEMIC LUPUS ERYTHEMATOSUS
IL12B,SYSTEMIC LUPUS ERYTHEMATOSUS
IFNA1,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF1B,SYSTEMIC LUPUS ERYTHEMATOSUS
CD40LG,SYSTEMIC LUPUS ERYTHEMATOSUS
PRL,SYSTEMIC LUPUS ERYTHEMATOSUS
IL18,SYSTEMIC LUPUS ERYTHEMATOSUS
IL2RA,SYSTEMIC LUPUS ERYTHEMATOSUS
IGHM,SYSTEMIC LUPUS ERYTHEMATOSUS
CCL2,SYSTEMIC LUPUS ERYTHEMATOSUS
CR1,SYSTEMIC LUPUS ERYTHEMATOSUS
TNF,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-DRB1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL10,SYSTEMIC LUPUS ERYTHEMATOSUS
FAS,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-E,SYSTEMIC LUPUS ERYTHEMATOSUS
LEP,SYSTEMIC LUPUS ERYTHEMATOSUS
ACE,SYSTEMIC LUPUS ERYTHEMATOSUS
IL4,SYSTEMIC LUPUS ERYTHEMATOSUS
IFNG,SYSTEMIC LUPUS ERYTHEMATOSUS
CD19,SYSTEMIC LUPUS ERYTHEMATOSUS
EVA1C,SYSTEMIC LUPUS ERYTHEMATOSUS
AVP,SYSTEMIC LUPUS ERYTHEMATOSUS
BCL2,SYSTEMIC LUPUS ERYTHEMATOSUS
C4A,SYSTEMIC LUPUS ERYTHEMATOSUS
FCGR1A,SYSTEMIC LUPUS ERYTHEMATOSUS
SSB,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF9,SYSTEMIC LUPUS ERYTHEMATOSUS
THBD,SYSTEMIC LUPUS ERYTHEMATOSUS
THM,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF25,SYSTEMIC LUPUS ERYTHEMATOSUS
VWF,SYSTEMIC LUPUS ERYTHEMATOSUS
CRP,SYSTEMIC LUPUS ERYTHEMATOSUS
MIF,SYSTEMIC LUPUS ERYTHEMATOSUS
IRF5,SYSTEMIC LUPUS ERYTHEMATOSUS
TLR7,SYSTEMIC LUPUS ERYTHEMATOSUS
SYK,SYSTEMIC LUPUS ERYTHEMATOSUS
IL17A,SYSTEMIC LUPUS ERYTHEMATOSUS
CD5,SYSTEMIC LUPUS ERYTHEMATOSUS
TLR9,SYSTEMIC LUPUS ERYTHEMATOSUS
CD79A,SYSTEMIC LUPUS ERYTHEMATOSUS
ICAM1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL15,SYSTEMIC LUPUS ERYTHEMATOSUS
MBL2,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFSF13B,SYSTEMIC LUPUS ERYTHEMATOSUS
IL13,SYSTEMIC LUPUS ERYTHEMATOSUS
TGFB1,SYSTEMIC LUPUS ERYTHEMATOSUS
CSF3,SYSTEMIC LUPUS ERYTHEMATOSUS
ICOS,SYSTEMIC LUPUS ERYTHEMATOSUS
FCGR2A,SYSTEMIC LUPUS ERYTHEMATOSUS
LCN2,SYSTEMIC LUPUS ERYTHEMATOSUS
ALB,SYSTEMIC LUPUS ERYTHEMATOSUS
MS4A1,SYSTEMIC LUPUS ERYTHEMATOSUS
CTLA4,SYSTEMIC LUPUS ERYTHEMATOSUS
C3,SYSTEMIC LUPUS ERYTHEMATOSUS
FASLG,SYSTEMIC LUPUS ERYTHEMATOSUS
NGF,SYSTEMIC LUPUS ERYTHEMATOSUS
IL6,SYSTEMIC LUPUS ERYTHEMATOSUS
IL1RN,SYSTEMIC LUPUS ERYTHEMATOSUS
NR3C1,SYSTEMIC LUPUS ERYTHEMATOSUS
VEGFA,SYSTEMIC LUPUS ERYTHEMATOSUS
PDCD1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL2,SYSTEMIC LUPUS ERYTHEMATOSUS
FCGR3B,SYSTEMIC LUPUS ERYTHEMATOSUS
APOH,SYSTEMIC LUPUS ERYTHEMATOSUS
DNASE1,SYSTEMIC LUPUS ERYTHEMATOSUS
TP53,SYSTEMIC LUPUS ERYTHEMATOSUS
TBX21,SYSTEMIC LUPUS ERYTHEMATOSUS
HSP90AA1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL23R,SYSTEMIC LUPUS ERYTHEMATOSUS
STAT4,SYSTEMIC LUPUS ERYTHEMATOSUS
B2M,SYSTEMIC LUPUS ERYTHEMATOSUS
PROC,SYSTEMIC LUPUS ERYTHEMATOSUS
ADIPOQ,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFAIP3,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF13C,SYSTEMIC LUPUS ERYTHEMATOSUS
HMGB1,SYSTEMIC LUPUS ERYTHEMATOSUS
F2,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF1A,SYSTEMIC LUPUS ERYTHEMATOSUS
ITGAL,SYSTEMIC LUPUS ERYTHEMATOSUS
ADA,SYSTEMIC LUPUS ERYTHEMATOSUS
ANXA5,SYSTEMIC LUPUS ERYTHEMATOSUS
IL1B,SYSTEMIC LUPUS ERYTHEMATOSUS
IL21R,SYSTEMIC LUPUS ERYTHEMATOSUS
GPI,SYSTEMIC LUPUS ERYTHEMATOSUS
STAT3,SYSTEMIC LUPUS ERYTHEMATOSUS
PPARG,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFSF4,SYSTEMIC LUPUS ERYTHEMATOSUS
CD40,SYSTEMIC LUPUS ERYTHEMATOSUS
SERPINE1,SYSTEMIC LUPUS ERYTHEMATOSUS
SOCS1,SYSTEMIC LUPUS ERYTHEMATOSUS
NFKB1,SYSTEMIC LUPUS ERYTHEMATOSUS
NFKB2,SYSTEMIC LUPUS ERYTHEMATOSUS
RELA,SYSTEMIC LUPUS ERYTHEMATOSUS
RELB,SYSTEMIC LUPUS ERYTHEMATOSUS
REL,SYSTEMIC LUPUS ERYTHEMATOSUS
PTPN22,SYSTEMIC LUPUS ERYTHEMATOSUS
FCGR2B,SYSTEMIC LUPUS ERYTHEMATOSUS
FOXP3,SYSTEMIC LUPUS ERYTHEMATOSUS
MMP9,SYSTEMIC LUPUS ERYTHEMATOSUS
CD274,SYSTEMIC LUPUS ERYTHEMATOSUS
IL21,SYSTEMIC LUPUS ERYTHEMATOSUS
CD14,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-DRB4,SYSTEMIC LUPUS ERYTHEMATOSUS
IL22,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCR4,SYSTEMIC LUPUS ERYTHEMATOSUS
TLR4,SYSTEMIC LUPUS ERYTHEMATOSUS
CDR3,SYSTEMIC LUPUS ERYTHEMATOSUS
CD28,SYSTEMIC LUPUS ERYTHEMATOSUS
FN1,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCL8,SYSTEMIC LUPUS ERYTHEMATOSUS
MAPK8,SYSTEMIC LUPUS ERYTHEMATOSUS
IL37,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCL13,SYSTEMIC LUPUS ERYTHEMATOSUS
CCR5,SYSTEMIC LUPUS ERYTHEMATOSUS
MIR146A,SYSTEMIC LUPUS ERYTHEMATOSUS
ESR1,SYSTEMIC LUPUS ERYTHEMATOSUS
PON1,SYSTEMIC LUPUS ERYTHEMATOSUS
FUT1,SYSTEMIC LUPUS ERYTHEMATOSUS
SPP1,SYSTEMIC LUPUS ERYTHEMATOSUS
ITGAM,SYSTEMIC LUPUS ERYTHEMATOSUS
MPO,SYSTEMIC LUPUS ERYTHEMATOSUS
STAT1,SYSTEMIC LUPUS ERYTHEMATOSUS
PLG,SYSTEMIC LUPUS ERYTHEMATOSUS
RBM45,SYSTEMIC LUPUS ERYTHEMATOSUS
C5AR1,SYSTEMIC LUPUS ERYTHEMATOSUS
IGHE,SYSTEMIC LUPUS ERYTHEMATOSUS
PTX3,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCL12,SYSTEMIC LUPUS ERYTHEMATOSUS
SOD1,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCR3,SYSTEMIC LUPUS ERYTHEMATOSUS
TLR2,SYSTEMIC LUPUS ERYTHEMATOSUS
VDR,SYSTEMIC LUPUS ERYTHEMATOSUS
CD44,SYSTEMIC LUPUS ERYTHEMATOSUS
IL23A,SYSTEMIC LUPUS ERYTHEMATOSUS
IL1A,SYSTEMIC LUPUS ERYTHEMATOSUS
IL27,SYSTEMIC LUPUS ERYTHEMATOSUS
HAVCR2,SYSTEMIC LUPUS ERYTHEMATOSUS
MTOR,SYSTEMIC LUPUS ERYTHEMATOSUS
IL9,SYSTEMIC LUPUS ERYTHEMATOSUS
MSC,SYSTEMIC LUPUS ERYTHEMATOSUS
CXCL10,SYSTEMIC LUPUS ERYTHEMATOSUS
MMP3,SYSTEMIC LUPUS ERYTHEMATOSUS
LTA,SYSTEMIC LUPUS ERYTHEMATOSUS
MIR155,SYSTEMIC LUPUS ERYTHEMATOSUS
MIR21,SYSTEMIC LUPUS ERYTHEMATOSUS
CD27,SYSTEMIC LUPUS ERYTHEMATOSUS
AHR,SYSTEMIC LUPUS ERYTHEMATOSUS
IL33,SYSTEMIC LUPUS ERYTHEMATOSUS
MYD88,SYSTEMIC LUPUS ERYTHEMATOSUS
TFPI,SYSTEMIC LUPUS ERYTHEMATOSUS
CD72,SYSTEMIC LUPUS ERYTHEMATOSUS
CDR1,SYSTEMIC LUPUS ERYTHEMATOSUS
POMC,SYSTEMIC LUPUS ERYTHEMATOSUS
IGAN1,SYSTEMIC LUPUS ERYTHEMATOSUS
TG,SYSTEMIC LUPUS ERYTHEMATOSUS
MTHFR,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-DRB5,SYSTEMIC LUPUS ERYTHEMATOSUS
TAP2,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFSF10,SYSTEMIC LUPUS ERYTHEMATOSUS
THPO,SYSTEMIC LUPUS ERYTHEMATOSUS
TRIM21,SYSTEMIC LUPUS ERYTHEMATOSUS
HISTONE H1,SYSTEMIC LUPUS ERYTHEMATOSUS
ZNF423,SYSTEMIC LUPUS ERYTHEMATOSUS
NOS3,SYSTEMIC LUPUS ERYTHEMATOSUS
IL6R,SYSTEMIC LUPUS ERYTHEMATOSUS
COMP,SYSTEMIC LUPUS ERYTHEMATOSUS
A2M,SYSTEMIC LUPUS ERYTHEMATOSUS
AOPEP,SYSTEMIC LUPUS ERYTHEMATOSUS
CIMT,SYSTEMIC LUPUS ERYTHEMATOSUS
CHI3L1,SYSTEMIC LUPUS ERYTHEMATOSUS
SIGIRR,SYSTEMIC LUPUS ERYTHEMATOSUS
CD180,SYSTEMIC LUPUS ERYTHEMATOSUS
FXN,SYSTEMIC LUPUS ERYTHEMATOSUS
ETS1,SYSTEMIC LUPUS ERYTHEMATOSUS
F5,SYSTEMIC LUPUS ERYTHEMATOSUS
ABCB1,SYSTEMIC LUPUS ERYTHEMATOSUS
LMNB1,SYSTEMIC LUPUS ERYTHEMATOSUS
CLEC4C,SYSTEMIC LUPUS ERYTHEMATOSUS
IL4I1,SYSTEMIC LUPUS ERYTHEMATOSUS
TAP1,SYSTEMIC LUPUS ERYTHEMATOSUS
TYROBP,SYSTEMIC LUPUS ERYTHEMATOSUS
LYN,SYSTEMIC LUPUS ERYTHEMATOSUS
ADM,SYSTEMIC LUPUS ERYTHEMATOSUS
CD24,SYSTEMIC LUPUS ERYTHEMATOSUS
CALR,SYSTEMIC LUPUS ERYTHEMATOSUS
CD247,SYSTEMIC LUPUS ERYTHEMATOSUS
MECP2,SYSTEMIC LUPUS ERYTHEMATOSUS
C4B,SYSTEMIC LUPUS ERYTHEMATOSUS
PPBP,SYSTEMIC LUPUS ERYTHEMATOSUS
DNASE1L3,SYSTEMIC LUPUS ERYTHEMATOSUS
LMNA,SYSTEMIC LUPUS ERYTHEMATOSUS
PLA2G7,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-DPB1,SYSTEMIC LUPUS ERYTHEMATOSUS
SLEB3,SYSTEMIC LUPUS ERYTHEMATOSUS
OCA2,SYSTEMIC LUPUS ERYTHEMATOSUS
PTEN,SYSTEMIC LUPUS ERYTHEMATOSUS
TNIP1,SYSTEMIC LUPUS ERYTHEMATOSUS
CD22,SYSTEMIC LUPUS ERYTHEMATOSUS
TRAF1,SYSTEMIC LUPUS ERYTHEMATOSUS
MBP,SYSTEMIC LUPUS ERYTHEMATOSUS
IL17F,SYSTEMIC LUPUS ERYTHEMATOSUS
ELN,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-DMA,SYSTEMIC LUPUS ERYTHEMATOSUS
SAA1,SYSTEMIC LUPUS ERYTHEMATOSUS
RAG2,SYSTEMIC LUPUS ERYTHEMATOSUS
ADAR,SYSTEMIC LUPUS ERYTHEMATOSUS
TGM2,SYSTEMIC LUPUS ERYTHEMATOSUS
F3,SYSTEMIC LUPUS ERYTHEMATOSUS
SELPLG,SYSTEMIC LUPUS ERYTHEMATOSUS
PCNA,SYSTEMIC LUPUS ERYTHEMATOSUS
LRP1,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF13B,SYSTEMIC LUPUS ERYTHEMATOSUS
SNRPD1,SYSTEMIC LUPUS ERYTHEMATOSUS
MMP7,SYSTEMIC LUPUS ERYTHEMATOSUS
CCL3L1,SYSTEMIC LUPUS ERYTHEMATOSUS
TRIM68,SYSTEMIC LUPUS ERYTHEMATOSUS
PTK2B,SYSTEMIC LUPUS ERYTHEMATOSUS
CYP2D6,SYSTEMIC LUPUS ERYTHEMATOSUS
VCAM1,SYSTEMIC LUPUS ERYTHEMATOSUS
NUP62,SYSTEMIC LUPUS ERYTHEMATOSUS
PXK,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF11B,SYSTEMIC LUPUS ERYTHEMATOSUS
BDNF,SYSTEMIC LUPUS ERYTHEMATOSUS
LSM2,SYSTEMIC LUPUS ERYTHEMATOSUS
HGF,SYSTEMIC LUPUS ERYTHEMATOSUS
RETN,SYSTEMIC LUPUS ERYTHEMATOSUS
HSP90AB1,SYSTEMIC LUPUS ERYTHEMATOSUS
CFP,SYSTEMIC LUPUS ERYTHEMATOSUS
CD1C,SYSTEMIC LUPUS ERYTHEMATOSUS
EMB,SYSTEMIC LUPUS ERYTHEMATOSUS
IL5,SYSTEMIC LUPUS ERYTHEMATOSUS
LGALS3,SYSTEMIC LUPUS ERYTHEMATOSUS
TRAF6,SYSTEMIC LUPUS ERYTHEMATOSUS
TF,SYSTEMIC LUPUS ERYTHEMATOSUS
IFNA17,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF10A,SYSTEMIC LUPUS ERYTHEMATOSUS
LPL,SYSTEMIC LUPUS ERYTHEMATOSUS
MERTK,SYSTEMIC LUPUS ERYTHEMATOSUS
HLA-G,SYSTEMIC LUPUS ERYTHEMATOSUS
CLEC16A,SYSTEMIC LUPUS ERYTHEMATOSUS
LTF,SYSTEMIC LUPUS ERYTHEMATOSUS
SNRNP70,SYSTEMIC LUPUS ERYTHEMATOSUS
DNMT1,SYSTEMIC LUPUS ERYTHEMATOSUS
EGR2,SYSTEMIC LUPUS ERYTHEMATOSUS
DHX9,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF4,SYSTEMIC LUPUS ERYTHEMATOSUS
ACLY,SYSTEMIC LUPUS ERYTHEMATOSUS
IFI16,SYSTEMIC LUPUS ERYTHEMATOSUS
BCR,SYSTEMIC LUPUS ERYTHEMATOSUS
MX1,SYSTEMIC LUPUS ERYTHEMATOSUS
NCF2,SYSTEMIC LUPUS ERYTHEMATOSUS
PRDM1,SYSTEMIC LUPUS ERYTHEMATOSUS
CDKN1A,SYSTEMIC LUPUS ERYTHEMATOSUS
CREM,SYSTEMIC LUPUS ERYTHEMATOSUS
SEMG1,SYSTEMIC LUPUS ERYTHEMATOSUS
FCER2,SYSTEMIC LUPUS ERYTHEMATOSUS
FCRL3,SYSTEMIC LUPUS ERYTHEMATOSUS
MFGE8,SYSTEMIC LUPUS ERYTHEMATOSUS
GAS6,SYSTEMIC LUPUS ERYTHEMATOSUS
ADAMTS13,SYSTEMIC LUPUS ERYTHEMATOSUS
CIC,SYSTEMIC LUPUS ERYTHEMATOSUS
IRF3,SYSTEMIC LUPUS ERYTHEMATOSUS
IKZF1,SYSTEMIC LUPUS ERYTHEMATOSUS
GH1,SYSTEMIC LUPUS ERYTHEMATOSUS
AFF1,SYSTEMIC LUPUS ERYTHEMATOSUS
FCN2,SYSTEMIC LUPUS ERYTHEMATOSUS
IL12B,SYSTEMIC LUPUS ERYTHEMATOSUS
TREX1,SYSTEMIC LUPUS ERYTHEMATOSUS
IKBKE,SYSTEMIC LUPUS ERYTHEMATOSUS
NTRK1,SYSTEMIC LUPUS ERYTHEMATOSUS
PARP1,SYSTEMIC LUPUS ERYTHEMATOSUS
HSP90B1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL1F10,SYSTEMIC LUPUS ERYTHEMATOSUS
CFH,SYSTEMIC LUPUS ERYTHEMATOSUS
NLRP3,SYSTEMIC LUPUS ERYTHEMATOSUS
RFX1,SYSTEMIC LUPUS ERYTHEMATOSUS
LY9,SYSTEMIC LUPUS ERYTHEMATOSUS
GSTM1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL34,SYSTEMIC LUPUS ERYTHEMATOSUS
AICDA,SYSTEMIC LUPUS ERYTHEMATOSUS
PRKCD,SYSTEMIC LUPUS ERYTHEMATOSUS
C1R,SYSTEMIC LUPUS ERYTHEMATOSUS
C1S,SYSTEMIC LUPUS ERYTHEMATOSUS
ACTB,SYSTEMIC LUPUS ERYTHEMATOSUS
CD70,SYSTEMIC LUPUS ERYTHEMATOSUS
DKK1,SYSTEMIC LUPUS ERYTHEMATOSUS
EPO,SYSTEMIC LUPUS ERYTHEMATOSUS
LAIR1,SYSTEMIC LUPUS ERYTHEMATOSUS
MIR23B,SYSTEMIC LUPUS ERYTHEMATOSUS
NOD2,SYSTEMIC LUPUS ERYTHEMATOSUS
WDFY4,SYSTEMIC LUPUS ERYTHEMATOSUS
BLK,SYSTEMIC LUPUS ERYTHEMATOSUS
IRF1,SYSTEMIC LUPUS ERYTHEMATOSUS
TNFRSF6B,SYSTEMIC LUPUS ERYTHEMATOSUS
IFIH1,SYSTEMIC LUPUS ERYTHEMATOSUS
MDM2,SYSTEMIC LUPUS ERYTHEMATOSUS
FKBP11,SYSTEMIC LUPUS ERYTHEMATOSUS
CD276,SYSTEMIC LUPUS ERYTHEMATOSUS
IFNK,SYSTEMIC LUPUS ERYTHEMATOSUS
EPOR,SYSTEMIC LUPUS ERYTHEMATOSUS
CST3,SYSTEMIC LUPUS ERYTHEMATOSUS
JUND,SYSTEMIC LUPUS ERYTHEMATOSUS
RRP8,SYSTEMIC LUPUS ERYTHEMATOSUS
GNAQ,SYSTEMIC LUPUS ERYTHEMATOSUS
NRP1,SYSTEMIC LUPUS ERYTHEMATOSUS
PDGFB,SYSTEMIC LUPUS ERYTHEMATOSUS
TIMD4,SYSTEMIC LUPUS ERYTHEMATOSUS
LBR,SYSTEMIC LUPUS ERYTHEMATOSUS
ELK1,SYSTEMIC LUPUS ERYTHEMATOSUS
AQP4,SYSTEMIC LUPUS ERYTHEMATOSUS
RO60,SYSTEMIC LUPUS ERYTHEMATOSUS
HISTONE H2B,SYSTEMIC LUPUS ERYTHEMATOSUS
EGF,SYSTEMIC LUPUS ERYTHEMATOSUS
SIRT1,SYSTEMIC LUPUS ERYTHEMATOSUS
LGALS8,SYSTEMIC LUPUS ERYTHEMATOSUS
HSPA4,SYSTEMIC LUPUS ERYTHEMATOSUS
SERPINA1,SYSTEMIC LUPUS ERYTHEMATOSUS
PTPRC,SYSTEMIC LUPUS ERYTHEMATOSUS
SLAMF1,SYSTEMIC LUPUS ERYTHEMATOSUS
IL18BP,SYSTEMIC LUPUS ERYTHEMATOSUS
SDC1,SYSTEMIC LUPUS ERYTHEMATOSUS
XRCC1,SYSTEMIC LUPUS ERYTHEMATOSUS
