Source,Target
MS4A1,ANKYLOSING SPONDYLARTHRITIDES
RUNX3,ANKYLOSING SPONDYLARTHRITIDES
PTGER4,ANKYLOSING SPONDYLARTHRITIDES
TNFSF15,ANKYLOSING SPONDYLARTHRITIDES
TNFRSF10B,ANKYLOSING SPONDYLARTHRITIDES
JMY,ANKYLOSING SPONDYLARTHRITIDES
KDM5A,ANKYLOSING SPONDYLARTHRITIDES
QPCT,ANKYLOSING SPONDYLARTHRITIDES
MECOM,ANKYLOSING SPONDYLARTHRITIDES
DPEP1,ANKYLOSING SPONDYLARTHRITIDES
CA1,ANKYLOSING SPONDYLARTHRITIDES
CCR7,ANKYLOSING SPONDYLARTHRITIDES
BMP6,ANKYLOSING SPONDYLARTHRITIDES
TMEM106C,ANKYLOSING SPONDYLARTHRITIDES
IRF4,ANKYLOSING SPONDYLARTHRITIDES
CCL21,ANKYLOSING SPONDYLARTHRITIDES
HLA-C,ANKYLOSING SPONDYLARTHRITIDES
CCL19,ANKYLOSING SPONDYLARTHRITIDES
PPARGC1B,ANKYLOSING SPONDYLARTHRITIDES
NFATC1,ANKYLOSING SPONDYLARTHRITIDES
HDAC3,ANKYLOSING SPONDYLARTHRITIDES
TNFSF10,ANKYLOSING SPONDYLARTHRITIDES
H3P6,ANKYLOSING SPONDYLARTHRITIDES
PON1,ANKYLOSING SPONDYLARTHRITIDES
TNFAIP1,ANKYLOSING SPONDYLARTHRITIDES
F5,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
F3,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
F2,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
APOH,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
GPI,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
PRL,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
FLT1,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
CYP27A1,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
SELP,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
ANXA2,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
PROC,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
TLR4,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
TNF,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
C5AR1,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
F12,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
ANXA5,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
CFH,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
CD79A,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
C5,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
APP,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
SPP1,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
IGHM,ANTI PHOSPHOLIPID ANTIBODY SYNDROME
TNF,AORTIC ARCH SYNDROME
IL17A,AORTIC ARCH SYNDROME
HLA-DRB4,AORTIC ARCH SYNDROME
CDK9,AORTIC ARCH SYNDROME
IL12B,AORTIC ARCH SYNDROME
IL6,AORTIC ARCH SYNDROME
CRP,AORTIC ARCH SYNDROME
HLA-B,AORTIC ARCH SYNDROME
CNR1,AORTIC ARCH SYNDROME
PTX3,AORTIC ARCH SYNDROME
IL23A,AORTIC ARCH SYNDROME
LPL,AORTIC ARCH SYNDROME
BW52,AORTIC ARCH SYNDROME
CCL5,AORTIC ARCH SYNDROME
EDN1,AORTIC ARCH SYNDROME
TNF,ARTHRITIS
FGF2,ARTHRITIS
IL1RN,ARTHRITIS
GPI,ARTHRITIS
MMP3,ARTHRITIS
CSF2,ARTHRITIS
IL1A,ARTHRITIS
IL18,ARTHRITIS
IL17A,ARTHRITIS
IL4,ARTHRITIS
PTGS2,ARTHRITIS
IFNG,ARTHRITIS
POMC,ARTHRITIS
IL6,ARTHRITIS
MIF,ARTHRITIS
HSPD1,ARTHRITIS
NOS2,ARTHRITIS
IL10,ARTHRITIS
CRH,ARTHRITIS
IL12A,ARTHRITIS
IL12B,ARTHRITIS
CRP,ARTHRITIS
HIF1A,ARTHRITIS
COMP,ARTHRITIS
F2RL1,ARTHRITIS
TLR4,ARTHRITIS
IL32,ARTHRITIS
IL1A,ARTHRITIS
TNFSF11,ARTHRITIS
TBX21,ARTHRITIS
CCN2,ARTHRITIS
NFKB1,ARTHRITIS
LEP,ARTHRITIS
CXCL8,ARTHRITIS
IL2RA,ARTHRITIS
VIP,ARTHRITIS
NGF,ARTHRITIS
EVA1C,ARTHRITIS
CCL5,ARTHRITIS
CXCL10,ARTHRITIS
HLA-E,ARTHRITIS
IL1B,ARTHRITIS
HMOX1,ARTHRITIS
CD80,ARTHRITIS
HSPA5,ARTHRITIS
TLR2,ARTHRITIS
CXCR2,ARTHRITIS
SYK,ARTHRITIS
IFNA1,ARTHRITIS
C5AR1,ARTHRITIS
ST2,ARTHRITIS
CD19,ARTHRITIS
CD28,ARTHRITIS
F2,ARTHRITIS
LGALS9,ARTHRITIS
IL33,ARTHRITIS
TAC1,ARTHRITIS
HMGB1,ARTHRITIS
PTGER4,ARTHRITIS
IFNB1,ARTHRITIS
CD40,ARTHRITIS
VEGFA,ARTHRITIS
SOCS3,ARTHRITIS
MMP2,ARTHRITIS
FN1,ARTHRITIS
TNFRSF11B,ARTHRITIS
PLAU,ARTHRITIS
MAPK8,ARTHRITIS
ADIPOQ,ARTHRITIS
IL23A,ARTHRITIS
SOD1,ARTHRITIS
MMP9,ARTHRITIS
IL21,ARTHRITIS
NFKB1,ARTHRITIS
